gene	wbid	n_strains	fluor_tags	other_tags	cgc_strains
idha-1	WBGene00009664	1	GFPNovo2	AID;FLAG;TEV	
idpc-1/Y47D3B.6	WBGene00012942	1	mGreenLantern		RP3497
ifa-4	WBGene00002052	4	mKate2	Myc	BK532;BK533;BK588
ifb-1	WBGene00002053	1	mNG		
ifb-2	WBGene00002054	2	mCherry;mNG		
ife-1	WBGene00002059	4	GFP;GFPNovo2;mKate2	AID;FLAG;Myc;TEV	KX155;SHG2427
ife-3	WBGene00002061	3	GFP	FLAG;V5	JK6594;KX155;SHG682
ifet-1	WBGene00004132	9	GFP;GFPNovo2;TagRFP;mCherry;mScarlet-I	AID;FLAG;TEV;V5;degron	JWW166;JWW253;SHG2243;SHG2766
ifg-1	WBGene00002066	6	GFPNovo2;mCherry	AID;FLAG;Myc;TEV;V5;dV5	
ift-139	WBGene00022696	1	GFP	AID	
ift-74	WBGene00016005	1	GFP		GOU2362
ift-81	WBGene00017973	2	BFP;TagBFP		GOU2187
ifta-1	WBGene00016935	1	GFP	AID	
ify-1	WBGene00002068	1	mNG		OD5096
igcm-1	WBGene00018215	1	GFP	FLAG;ZF	
ikb-1	WBGene00002069	1	mCherry		PHX267
ilc-17.1	WBGene00011937	1		HA	
ilcr-2	WBGene00018960	1		AID	
ilkp-1	WBGene00009354	1	GFPNovo2	AID;FLAG;TEV	
imb-1	WBGene00002075	1	mNG		JH4473
immt-1	WBGene00020511	3	GFP;mNG		NK3047;NK3085
immt-2	WBGene00012315	1	mNG		
imph-1	WBGene00010908	1	mEos3.2		
ina-1	WBGene00002081	4	mKate;mKate2;mNG		NK2324;NK2476
ints-11	WBGene00008642	2		FLAG	
ints-13	WBGene00019822	1		FLAG	
ints-2	WBGene00013877	1		FLAG	
ints-3	WBGene00022360	1		FLAG	
ints-4	WBGene00012234	1	mKate2	AID;FLAG	
ints-5	WBGene00013075	1		FLAG	
ints-6	WBGene00000994	1		FLAG	JCP462
ints-7	WBGene00008361	1		FLAG	
ints-9	WBGene00017608	1		FLAG	
inx-18	WBGene00002140	1	emGFP	AID	
inx-20	WBGene00002142	1	mCherry		
inx-3	WBGene00002125	1	mKate		
inx-6	WBGene00002128	2	GFP		OH13525;OH15535
inx-8	WBGene00002130	1	mKate		
inx-9	WBGene00002131	1	GFP		
islo-1	WBGene00018356	1	mScarlet		
isp-1	WBGene00002162	1	mNG		
jbts-14	WBGene00018727	1	mNG		
jnk-1	WBGene00002178	1	mNG	FLAG	GLW77
jun-1	WBGene00012005	1	GFP		
kap-1	WBGene00002182	1	GFP		
kcnl-1	WBGene00007176	1	mScarlet		
kdin-1	WBGene00006490	1	GFPNovo2	AID;FLAG;TEV	
kgb-2	WBGene00002188	1	GFP	AID;FLAG	
kin-10	WBGene00002196	1		Myc	
kin-19	WBGene00002202	1	smScarlet(11)		
kin-20	WBGene00002203	1	mKate2	HA;degron	
kin-3	WBGene00002191	1		V5	
kle-2	WBGene00016202	1		FLAG;TEV	
klf-2	WBGene00009998	2	eGFP	FLAG;TY1	RW12310
klf-3	WBGene00003480	2	mNG		SYS512
klp-12	WBGene00002223	1	mNG	FLAG	LP521
klp-16	WBGene00002226	1	GFP		
klp-17	WBGene00002227	1	mNG	FLAG	LP443
klp-19	WBGene00002229	2	GFP;GFPNovo2	AID;FLAG;TEV	
klp-20	WBGene00002230	3	GFP;mNG	FLAG	GOU2187;LP608
klp-4	WBGene00002217	1	mNG	FLAG	LP600
klp-7	WBGene00002219	1	mNG	FLAG	LP447
klp-8/gcc-1	WBGene00002220	1	mNG	FLAG	LP604
klu-1/ZK337.2	WBGene00013970	1	eGFP	FLAG;TY1	RW12326
knl-1	WBGene00002231	7	GFP;darkGFP;mCherry;mTagBFP;sGFP(11)	AID;FLAG;HA;TEV	OD3392
knl-2	WBGene00019432	1	GFP		
knl-3	WBGene00020392	2	GFP;mScarlet	FLAG	
kqt-2	WBGene00002234	1	sGFP(11)		
krr-1	WBGene00015461	1	GFPNovo2	AID;FLAG;TEV	
lab-1	WBGene00007278	1	GFP		
lab-2	WBGene00018954	1	GFP		
laf-1	WBGene00002244	3	GFP;mNG	FLAG	SHG2534
lag-1	WBGene00002245	10	GFP;eGFP;mKate2;mNG	AID;FLAG;HA;TY1;degron	BS5633;RW12314;SYS671
lag-2	WBGene00002246	1	mNG	FLAG	
lam-1	WBGene00002247	2	mNG;mScarlet	Myc	
lam-2	WBGene00016913	11	mEOS;mEOS4;mGreenLantern;mKate2;mNG;mScarlet-I		NK2335;NK2446;NK3027;TV28592;TV28593
lam-3	WBGene00002248	3	mNG;mScarlet	Myc	NK2425
larp-1	WBGene00020097	1	GFPNovo2	AID;FLAG;TEV	
lars-1	WBGene00003073	1	GFPNovo2	AID;FLAG;TEV	
lat-1	WBGene00002251	2	eGFP	FLAG	PHX8408
ldp-1	WBGene00017719	1	mRuby	HA	
lea-1	WBGene00002263	5	mNG;mYPet	AID;FLAG	LP858;LP859;LP860;LP861
lect-2	WBGene00019407	1	YFP		
lem-2	WBGene00002275	4	GFPNovo2;mNG	AID;FLAG;HA;TEV	SBW115
lem-3	WBGene00002276	1	eGFP	S-tag	TG4267
let-2	WBGene00002280	4	mMaple;mNG;mRuby2		NK2984;NK3026;NK3242
let-363	WBGene00002583	2		AID	WBM1481
let-381	WBGene00002601	4	GFP;mNG	AID	OS13288;SYS668
let-4	WBGene00002282	2	GFP;mCherry		ML2578;UP3756
let-413	WBGene00002632	2	GFP;mCherry	AID	
let-418	WBGene00002637	2	mCherry	FLAG;degron	
let-502	WBGene00002694	1	GFP		
let-60	WBGene00002335	2	mNG		NK2987
let-607	WBGene00002783	1	GFP		
let-653	WBGene00002827	1	sfGFP		UP3746
let-805	WBGene00002915	5	GFP;RFP;mScarlet		ML2501
let-92	WBGene00002363	1	GFP	AID;FLAG	
lev-10	WBGene00002977	5	GFP;sGFP(11)		NC3381;NC3492;NC3493
lgc-41	WBGene00008022	1	GFP		
lgc-50	WBGene00020605	1	GFP		
lgg-1	WBGene00002980	1	mCherry		
lgl-1	WBGene00018987	2	GFP;mScarlet	ZF	NWG285
lig-4	WBGene00002986	1		OLLAS	
lim-6	WBGene00002988	2	GFP		OH18619
lim-7	WBGene00002989	2	mNG		SYS473
lin-1	WBGene00002990	3	eGFP;mNG	FLAG;TY1	RW12212;SYS645
lin-11	WBGene00003000	1	GFP	FLAG	OH15910
lin-12	WBGene00003001	8	mNG	FLAG	APL31;DQM1051;DQM1066;DQM1068;DQM1070;DQM1072
lin-14	WBGene00003003	4	GFP;mScarlet-I	AID	OH16790;PD1301
lin-15B	WBGene00023497	2	GFP;eGFP		JH3205
lin-17	WBGene00003006	2	mScarlet;mTurquoise	AID	
lin-22	WBGene00003008	2	mNG		SYS1050
lin-26	WBGene00003012	3	GFP;mNG		RW12178;SYS513
lin-28	WBGene00003014	2	GFP	AID	VT3727
lin-29	WBGene00003015	6	GFP;eGFP	FLAG;TY1	HW1822;HW1826;HW1835;RW12227
lin-3	WBGene00002992	2	mNG	FLAG	LP511
lin-31	WBGene00003017	2	mNG		SYS683
lin-32	WBGene00003018	2	mNG		SYS398
lin-35	WBGene00003020	4	GFP	AID	AWR41;AWR54;AWR56;AWR58
lin-38	WBGene00013006	1	eGFP	FLAG;TY1	RW12236
lin-39	WBGene00003024	2	GFP;mNG	AID;ZF	KRA467
lin-40	WBGene00003025	1	GFP		
lin-41	WBGene00003026	8	Dendra;GFP;mKate2;mNG;mScarlet	AID;FLAG;TEV	DG3913
lin-42	WBGene00018572	1	GFP	FLAG;degron	
lin-44	WBGene00003029	1	BFP	NRT	
lin-45	WBGene00003030	2	GFP	FLAG	MKE243
lin-46	WBGene00003031	1	mCherry		VT3650
lin-48	WBGene00003033	2	mNG		SYS638
lin-5	WBGene00002994	5	eGFP;mCherry;mNG	AID;FLAG;ZF;ePDZ	LP585
lin-52	WBGene00003035	1	mCherry		
lin-53	WBGene00003036	1	mNG		
lin-65	WBGene00022149	3	GFP	FLAG;TEV	GW1618;GW1621
lin-66	WBGene00001562	1	GFP		
lin-9	WBGene00002998	1	mCherry		
lir-1	WBGene00003044	1	eGFP	FLAG;TY1	RW12318
lis-1	WBGene00003047	1	mNG	FLAG	LP591
lit-1	WBGene00003048	1	GFP	AID	
lmbr-1	WBGene00019877	1	GFP		
lmn-1	WBGene00003052	7	GFP;Gamillus;sGFP(11)	AID;V5	JDW182
lmp-1	WBGene00003053	1	mNG		
lmtr-3	WBGene00007390	1	mScarlet		
lon-1	WBGene00003055	1		V5	
lon-2	WBGene00003056	2	mNG		NK2582
lon-8	WBGene00013352	2	mNG;mScarlet	FLAG;OLLAS	JDW769;JDW785
lotr-1	WBGene00008385	3	GFP	FLAG;GFP Nanobody;OLLAS	SHG2903
lov-1	WBGene00003058	5	mNG;mScarlet-I		
lpd-3	WBGene00003060	3	mVenus;sGFP(11)	FLAG	
lpd-6	WBGene00003062	1	sGFP(11)		
lpin-1	WBGene00010425	2	GFP;mNG		ABR339
lpr-3	WBGene00012261	1	sfGFP		UP3666
lro-1/W05H9.1	WBGene00021048	1		FLAG	
lrp-1	WBGene00003071	1	mNG	FLAG	JDW789
lrp-2	WBGene00003072	1	GFP		
lsd-1	WBGene00011615	2	GFP	HA	
lsl-1	WBGene00009937	1	GFP		
lsm-3	WBGene00003077	1	GFPNovo2	AID;FLAG;TEV	
lst-1	WBGene00003083	9		FLAG;OLLAS;V5;λN	JK5758;JK5929;JK5964;WU1756
lsy-22	WBGene00009188	2	TagRFP-T;mNG	AID	
lsy-6	WBGene00003088	2	YFP		MLC2183
luc-7L	WBGene00015207	1	GFPNovo2	AID;FLAG;TEV	
mab-10	WBGene00003107	2	GFP;mCherry	FLAG	
mab-3	WBGene00003100	2	GFP	FLAG	OH15732
mab-5	WBGene00003102	1	mNG	AID;FLAG	PHX6730
mab-9	WBGene00003106	4	TagRFP;eGFP;mNG	AID;FLAG;TY1	OH14357;RW12257;SYS610
mad-1/hmp-2	WBGene00001979	4	GFP	FLAG;TEV;ZF	LP316
madd-4	WBGene00009958	1	TagRFP-T		
madf-1	WBGene00021942	1	eGFP	FLAG;TY1	RW12345
madf-3	WBGene00019218	1	eGFP	FLAG;TY1	RW12241
madf-5	WBGene00007242	1	eGFP	FLAG;TY1	RW12308
madf-6	WBGene00016930	1	eGFP	FLAG;TY1	RW12237
madf-8	WBGene00008118	1	eGFP	FLAG;TY1	RW12322
madf-9	WBGene00022608	1	eGFP	FLAG;TY1	RW12324
mage-1	WBGene00018230	1	GFP	FLAG	
magi-1	WBGene00010444	1	Skylan-S		
magu-2	WBGene00006467	1	GFP		
mai-1	WBGene00003124	2		MS2	SHX3909
mak-2	WBGene00007007	1	GFP		
mals-1/K12H4.2	WBGene00019677	1		FLAG	
malt-1	WBGene00017702	1	GFP		
manf-1	WBGene00021888	1	mKate2		
maph-1.1	WBGene00009306	2	GFP;sGFP(11)		BOX188
maph-9	WBGene00016397	3	BFP;GFP;RFP	FLAG;ZF	
marc-3	WBGene00007643	1	GFP		
mars-1	WBGene00003415	1	GFPNovo2	AID;FLAG;TEV	
math-33	WBGene00010406	1	mCherry	HA	
mbk-2	WBGene00003150	2	GFPNovo2	AID;FLAG;TEV;V5	JH3195
mbr-1	WBGene00011315	1	GFPNovo2	AID;FLAG;TEV	
mccc-1	WBGene00009319	2		His	AX7884
mcd-1	WBGene00013096	1	eGFP	FLAG;TY1	RW12215
mdf-1	WBGene00003160	2	mNG;mScarlet	FLAG;TEV	OD2906;OD4376
mdf-2	WBGene00003161	1	GFP	FLAG;TEV	
mdt-15	WBGene00007016	1	emGFP	AID	IJ1651
mdt-28/F28F8.5	WBGene00009223	1	GFP		
mdt-29	WBGene00007025	1	GFP	degron	
mec-12	WBGene00003175	2	GFP	FLAG;TEV	SA1180
mec-2	WBGene00003166	1	GFP		
mec-3	WBGene00003167	1	GFP		
mec-5	WBGene00003169	1	mScarlet	Myc	
mec-7	WBGene00003171	2	GFP	FLAG;TEV	SA1208
mec-9	WBGene00003173	1	mScarlet	Myc	
med-1	WBGene00003180	1	mNG		
mef-2	WBGene00003182	1	GFP		
meg-1	WBGene00010492	4	GFP;GFPNovo2	AID;FLAG;OLLAS;TEV	DG4213;JH3379;JH3407
meg-3	WBGene00001569	11	GFP;GFPNovo2;mCherry;meGFP	AID;FLAG;Halotag;OLLAS;TEV	JH3477;JH3503;JH3614;JH3644;JH4072;JH4073;SHG2238
meg-4	WBGene00016485	1		FLAG	JH3247
mei-1	WBGene00003183	2	GFP		JWW236
mei-2	WBGene00003184	1	sfGFP		
mel-11	WBGene00003196	2	mNG	ZF	
mel-28	WBGene00003210	5	GFP		BN426;BN452;BN793
mep-1	WBGene00003218	3	GFP;GFPNovo2	AID;FLAG;TEV;degron	
mes-1	WBGene00003219	1	mNG	FLAG	LP527
mes-2	WBGene00003220	2	GFP;eGFP		JH3203
mes-3	WBGene00003221	1		OLLAS	
met-2	WBGene00019883	10	GFPNovo2;mCherry;mKate2	AID;FLAG;HA;TEV	EL634;EL658;EL663;GW1419;GW1539;GW1621;GW1623;OH14221
metl-13	WBGene00015282	1	GFPNovo2	AID;FLAG;TEV	
metr-1	WBGene00010988	1	GFPNovo2	AID;FLAG;TEV	
mex-1	WBGene00003228	1	GFP		
mex-3	WBGene00003229	1	GFP	FLAG	DG4269
mex-5	WBGene00003230	7	mCherry;mNG	FLAG;OLLAS	JH3188;JH3190;JH3296;JH3678;JH3679;LP373
mex-6	WBGene00003231	3	GFP;GFPNovo2;mCherry	AID;FKBP12 protein;FLAG;TEV	JH3209
mib-1	WBGene00012933	3	GFP		
micu-1	WBGene00013462	1	GFP		CZ27508
mig-1	WBGene00003238	1	mKate2	Myc	
mig-10	WBGene00003243	1	mNG	FLAG	SU875
mig-15	WBGene00003247	2	mNG	AID;HA	DV3709
mig-17	WBGene00003248	1	mNG		FDU1056
mig-5	WBGene00003241	1	mNG	AID	LP728
mig-6	WBGene00003242	8	mKate;mNG		NK2442;NK2557
mina-1	WBGene00008061	1	GFP	FLAG	SHG2329
mip-2	WBGene00010281	5	GFP;mCherry	FLAG	SHG2361
miro-1	WBGene00019544	4	GFP;mKate2;sGFP(11)		
misc-1	WBGene00015186	1	GFPNovo2	AID;FLAG;TEV	
mjl-1	WBGene00007644	2	sGFP(11)	HA;V5	
mks-2	WBGene00194710	1	mNG		
mks-5	WBGene00007490	2	mMaple3;mNG		
mks-6	WBGene00010642	1	mNG		
mksr-2	WBGene00021416	1	mNG		
mls-2	WBGene00003377	1	mNG		IX4506
mlt-10	WBGene00015646	1	mNG	FLAG	JDW737
mlt-11	WBGene00012186	1	mScarlet	Myc	
mlt-2/C01H6.2	WBGene00007252	4	mKate2;mNG	FLAG;vivid	
mlt-3	WBGene00012704	1	mKate2	FLAG	
mlt-4	WBGene00013835	7	GFP;TagRFP-T;mScarlet	FLAG;HA;HRV;Halotag;TEV;vivid	
mlt-8	WBGene00021095	1	mNG	FLAG	JDW733
mlt-9	WBGene00008605	1	mNG	FLAG	JDW739
mog-7	WBGene00009672	1	GFP	degron	
mom-2	WBGene00003395	1	mNG	FLAG	LP559
mom-5	WBGene00003397	3	YPet;mKate2;mNG	FLAG	LP184;LP697
mon-2	WBGene00008685	1	emGFP	AID	
morc-1	WBGene00022531	1		FLAG	
mpk-1	WBGene00003401	10	mKate2;mNG	AID;FLAG;OLLAS;V5	DV3285;GLW19;JK6383;JK6403
mpk-2	WBGene00003402	1	GFPNovo2	AID;FLAG;TEV	
mrck-1	WBGene00006437	2	GFP;YPet	FLAG	LP252;LP462
mre-11	WBGene00003405	2	GFP	FLAG	SSM289
mrg-1	WBGene00003406	2		FLAG;HA;degron	
mrp-3	WBGene00003409	1		FLAG	
mrpl-58/R02F2.9	WBGene00019838	1		FLAG	
msh-5	WBGene00003421	3	GFP	AID;HA	
msi-1	WBGene00003423	1	YPet	FLAG	
msp-142	WBGene00003469	1	mCherry	V5	
mtig-1/Y71G12B.26	WBGene00022161	1	GFP		PHX6394
mtl-1	WBGene00003473	1	mNG	FLAG	
mtx-1	WBGene00009559	1	mNG		NK3018
mtx-2	WBGene00022516	3	mNG		NK3084;NK3255
mup-4	WBGene00003497	2	GFP;mCherry		
mut-14	WBGene00003507	1	GFPNovo2	AID;FLAG;TEV	
mut-16	WBGene00003508	12	GFP;mCherry;mTagBFP2;meGFP	FLAG;GFP Nanobody;HA;Myc;SNAP;TurboID	JH3571;SHG2030;YY1492
mut-2/rde-3	WBGene00003499	5	GFP;GFPNovo2	AID;FLAG;HA;TEV	SHG2428
mut-7	WBGene00003504	2	GFPNovo2	AID;FLAG;HA;TEV	
mxl-2	WBGene00003510	1	eGFP	FLAG;TY1	RW12316
myo-2	WBGene00003514	2	GFP;mCherry		RSL84;RSL88
myo-3	WBGene00003515	2	GFP;mCherry		RSL10
myrf-1	WBGene00004134	2	GFP	FLAG	
myrf-2	WBGene00008999	1	GFP		
mzt-1	WBGene00044431	3	GFP	FLAG;ZF	JLF348
nas-37	WBGene00003553	2	mNG;mScarlet	FLAG;OLLAS	JDW436;JDW708
nas-39	WBGene00003555	2	mNG		NK2701
natc-1	WBGene00020719	1	GFP		
natc-2	WBGene00015074	1	GFP		
ncam-1	WBGene00017184	1	GFP	FLAG;ZF	
ncap-1	WBGene00022453	1	mScarlet	FLAG	
ncr-1	WBGene00003561	1	GFP	FLAG	
ncr-2	WBGene00003562	1	GFP	FLAG	
ndc-1/npp-22	WBGene00007118	3	mNG;mRuby;mScarlet		JH4202
ndc-80	WBGene00003576	3	GFP;dGFP;sGFP(11)	AID;FLAG;TEV	
nduf-7	WBGene00012376	1	mNG		NK2841
nduv-2	WBGene00009992	2	mNG		NK2845;NK3087
nekl-2	WBGene00022631	3	mNG	AID;FLAG;vivid	
nekl-3	WBGene00008956	2	mKate2	AID;FLAG	
nekl-4	WBGene00017033	3	mNG;mScarlet		PT3406
nep-2	WBGene00020230	1	GFPnovo2		PHX5406
nex-1	WBGene00003588	1	GFP		
nex-2	WBGene00003589	2	GFPNovo2;mNG	AID;FLAG;TEV	
nex-3	WBGene00003590	1	mNG		
nex-4	WBGene00003591	1	mNG		
nfi-1	WBGene00003592	2	mNG		SYS526
nfki-1	WBGene00007877	2	eGFP	FLAG	CER461
nfya-2	WBGene00043056	1	eGFP	FLAG;TY1	RW12238
nfyb-1	WBGene00021132	1	eGFP	FLAG;TY1	RW12190
nfyc-1	WBGene00017742	3	eGFP;mNG	FLAG;TY1	RW12333;SYS678
ngn-1	WBGene00003595	2	mNG		SYS498
nhj-1/scb-1	WBGene00010407	1		OLLAS	
nhl-2	WBGene00003598	2	GFP	FLAG	SHG2701;VT3554
nhr-1	WBGene00003600	1	mNG		
nhr-121	WBGene00003711	1	GFPNovo2	AID;FLAG;TEV	
nhr-23	WBGene00003622	8	GFP;mScarlet	AID;FLAG;Myc;TEV;degron	JDW29;JDW684;JDW92;KRY87;KRY88
nhr-25	WBGene00003623	5	GFP	AID;FLAG;TEV;degron	KRY84;KRY85
nhr-35	WBGene00003628	2	mNG		SYS528
nhr-41	WBGene00022423	1	eGFP	FLAG;TY1	RW12221
nhr-49	WBGene00003639	7	GFP;mCherry;mNG;sfGFP	HA;TurboID	PHX3258;PMD300;PMD320;PMD342;SYS696
nhr-62	WBGene00003652	1	GFPNovo2	AID;FLAG;TEV	
nhr-67	WBGene00003657	5	GFP;TagRFP-T;mNG;mScarlet-I	AID;FLAG	PHX509
nhr-8	WBGene00003607	1	mNG	FLAG	GLW41
nhr-85	WBGene00003675	1	GFP	AID;FLAG	JDW628
nid-1	WBGene00003738	5	mKate2;mMaple;mNG;mScarlet	Myc	NK2443
nifk-1	WBGene00011408	2	mNG		NK2964
nipi-3	WBGene00010700	1	GFP		
nkb-2	WBGene00008074	2	GFP		
nlp-29	WBGene00003767	1	mKate2		PHX1965
nlr-1	WBGene00003772	2	mKate;mNG		
nmy-1	WBGene00003776	3	GFP		ML2540;ML2936;ML2937
nmy-2	WBGene00003777	8	GFP;mCherry;mKate2;mNG;sGFP(11)	FLAG;degron	LP162;LP256
noah-1	WBGene00016422	4	mCherry;mNG	FLAG	JDW460;ML2482
noah-2	WBGene00009926	2	GFP;mNG	FLAG	JDW461
nob-1	WBGene00003779	3	GFP;mNG		PHX2679;SYS724
noca-1	WBGene00011647	1	GFP	FLAG;ZF	
noca-2	WBGene00011444	1	eGFP		
nono-1	WBGene00017778	2	GFP;TagRFP	FLAG	OH16294
nonu-1	WBGene00017811	1		FLAG	
nop-1	WBGene00017774	1		HA;ZF	
nos-2	WBGene00003784	1		FLAG	JH3193
nos-3	WBGene00003785	2		FLAG	
nova-1	WBGene00013347	1	GFP		PHX4373
npa-1	WBGene00003786	1	mNG	FLAG	JDW656
nphp-4	WBGene00011261	1	mNG		
npp-1	WBGene00003787	1	GFPNovo2	AID;FLAG;TEV	
npp-10	WBGene00003796	3	mNG		JH3867
npp-11	WBGene00003797	2	mScarlet	AID;FLAG	JH4201;JH4484
npp-12	WBGene00003798	1	mNG		JH4416
npp-14	WBGene00003800	4	GFP;mNG	FLAG;HA;OLLAS;TurboID	JH3872;JH4467
npp-19	WBGene00003805	1	GFP		
npp-2	WBGene00003788	3	GFP		BN1082
npp-21	WBGene00019940	2	GFP		BN1062
npp-24	WBGene00022672	1	GFP		
npp-7	WBGene00003793	1	mCherry		
npp-9	WBGene00003795	6	TagRFP;mCherry;mNG	PCP;SunTag	JH3938;SHG2190;SHG2904
npr-17	WBGene00015559	2	GFP		OH16831
npr-5	WBGene00021983	1	GFP		
nrd-1	WBGene00017004	1	GFPNovo2	AID;FLAG;TEV	
nrde-1	WBGene00007577	1		FLAG	
nrde-2	WBGene00011333	2		FLAG;HA;λN	
nrde-3	WBGene00019862	4	GFP	FLAG	JMC237;JMC247
nrfl-1	WBGene00006438	1	mCherry		
nrx-1	WBGene00007799	3	GFP;Skylan-S	TurboID	
ntl-1/let-711/spn-3	WBGene00002845	4	GFP	FLAG;V5;degron	JK6526
ntl-9	WBGene00016139	1	GFPNovo2	AID;FLAG;TEV	
nucl-1	WBGene00019510	5	GFP;mKate2;mScarlet;sGFP(11)		ESC770;JH4476
nud-2	WBGene00011230	1	mNG	FLAG	LP439
numr-1	WBGene00017270	1	GFP		
nuo-1	WBGene00003831	6	SuperNova;mKate2;mNG		NK2657;NK2777;NK3210;NK3211
nuo-6	WBGene00012166	1	mNG		
nxf-1	WBGene00003834	1	mCherry		SHG2141
nyn-1	WBGene00011959	1	mCherry	HA	
obr-4	WBGene00016331	1	GFP		
odr-1	WBGene00003848	1	meGFP	AID;FLAG	
odr-10	WBGene00003856	1	sGFP(11)		
odr-7	WBGene00003854	1	eGFP	FLAG;TY1	RW12342
ogr-2	WBGene00009946	1		FLAG	
ogt-1	WBGene00003858	3	GFP		OG1124;OG1157
oig-1	WBGene00003859	3	TagRFP;sGFP(11)	FLAG	NC3292;NC3390
oma-1	WBGene00003864	2	GFP	AID	WRM66
oma-2	WBGene00003865	3	mNG	AID;FLAG	LP393;WRM66
orc-1	WBGene00012650	1	mNG	FLAG	DG4228
osm-3	WBGene00003884	4	GFP;mCherry	FLAG	
osm-6	WBGene00003886	4	GFP;sGFP(11)	AID;FLAG	OS13059;OS13359
osp-1	WBGene00044122	1	GFP		
ost-1	WBGene00003893	1	mNG		
pab-1	WBGene00003902	4	GFP;mNG	FLAG;ZF	SHG2241
pacs-1	WBGene00044077	2	GFP;mScarlet		
pad-1	WBGene00003905	1	mScarlet-I		
pal-1	WBGene00003912	2	GFP;mScarlet	AID;FLAG	
pals-22	WBGene00016216	6	GFP	AID	AWR45;AWR59;AWR61;AWR62;AWR63;AWR64
pan-1	WBGene00003915	2	GFP		
par-1	WBGene00003916	6	GFP;mScarlet;meGFP	AID;FLAG;Halotag;ZF	JH3616;JH3679;KK1262
par-2	WBGene00003917	6	GFP;GFPNovo2;mCherry;mNG;mScarlet	AID;FLAG;TEV	KK1254;KK1273;LP637;NWG316
par-3	WBGene00003918	15	GFP;GFPNovo2;TagRFP;YFP;eGFP;eYFP;mCherry;mNG;mScarlet-I	AID;FLAG;Halotag;Myc;SunTag;TEV;ZF	KK1216;KK1218;LP242;LP621;UTX113
par-4	WBGene00003919	4	mNG	FLAG	UTR43;UTR45
par-6	WBGene00003921	17	GFP;GFPNovo2;YFP;eGFP;mCherry;mKate2;mNG;mScarlet-I;sGFP(11)	AID;FLAG;Halotag;LOV;Myc;TEV;ZF	JLF212;KK1248;LP216;LP244;LP653
parg-1	WBGene00004051	1	GFP		
parn-1	WBGene00010734	1	GFP	FLAG	SHG2242
pas-1	WBGene00003922	2	GFP	AID;FLAG	
pash-1	WBGene00011908	5	mScarlet	AID;FLAG;Myc	MLC1065;MLC1726;MLC1729
pat-2	WBGene00003929	4	mNG;mScarlet	FLAG	NK2479
pat-3	WBGene00003930	7	EOS;GFP;mNG	FLAG;ZF	NK2436
patr-1	WBGene00009661	1	GFP	FLAG	
pbrm-1	WBGene00007042	3	GFP	FLAG;TY1	RW12226
pbs-5	WBGene00003951	1	mStayGold		
pbs-6	WBGene00003952	1	mTagBFP2		
pcca-1	WBGene00017864	3	GFPNovo2	AID;FLAG;His;TEV	AX7884
pch-2	WBGene00008641	1	GFP	FLAG	
pck-2	WBGene00011232	2	YFP		CG1367
pcmd-1	WBGene00007640	2	GFP	FLAG;ZF	TMD119
pcn-1	WBGene00003955	2		FLAG	WU1854
pdhb-1	WBGene00015413	1	GFPNovo2	AID;FLAG;TEV	
pdi-6	WBGene00015168	1	GFPNovo2	AID;FLAG;TEV	
pds-5/evl-14	WBGene00001352	2		AID;FLAG;V5	
pdzd-8/C53B4.4	WBGene00008274	1	mNG		
pei-2	WBGene00019972	1	GFPNovo2	AID;FLAG;TEV	
pes-1	WBGene00003976	3	eGFP;mNG	FLAG;TY1	RW12239
pes-8	WBGene00003981	1	GFPNovo2	AID;FLAG;TEV	
pezo-1	WBGene00007505	4	GFP;mScarlet		
pgl-1	WBGene00003992	16	GFP;TagBFP;TagRFP;eGFP;mCardinal;mCherry;mKate2;mTagBFP2;mTagRFP	FLAG;HA;Myc;SNAP;TurboID	JH3269;JK5687;SHG2028;SHG2905;YY1492;YY968
pgl-2	WBGene00003993	2	GFP;GFPNovo2	AID;FLAG;TEV	SHG2606
pgl-3	WBGene00003994	4	GFP;mCherry	FLAG	JH3657;JH4072;SHG2333
pha-4	WBGene00004013	5	GFP;eGFP	AID;AviTag;FLAG;TEV;TY1	OH15876;PHX5755;RW12220
phac-1/F26H9.2	WBGene00009174	1	mScarlet		
php-3	WBGene00004024	4	GFP	FLAG;TY1	OH19587;RW12213
picc-1	WBGene00017931	1	GFP	FLAG	
pics-1/pid-3	WBGene00021270	1	GFP	FLAG	
pid-1	WBGene00017549	1	GFP	FLAG	
pid-4	WBGene00021014	1	GFP	FLAG	SHG2607
pid-5	WBGene00021555	1	GFP	FLAG	SHG2608
pie-1	WBGene00004027	5	GFP;GFPNovo2	AID;FLAG;TEV;degron	EGD175
piit-1	WBGene00009384	2	mNG;mScarlet	FLAG;OLLAS	JDW766;JDW782
pinn-1	WBGene00022448	1	GFP	FLAG	
pitr-1	WBGene00016739	1	GFP		RT3351
pkc-2	WBGene00004033	1	YPet	AID;FLAG	
pkc-3	WBGene00004034	10	GFP;RFP;YPet;eGFP;mNG;mScarlet	AID;FLAG;Halotag;Myc;ZF	KK1228;LP212;LP634
plin-1	WBGene00007024	2	GFP;mRuby	FLAG	
plk-1	WBGene00004042	4	GFP;GFPNovo2;sfGFP	AID;FLAG;HA;TEV	
plk-2	WBGene00004043	6	mRuby	AID;FLAG;HA;TIR1	
plk-3	WBGene00004044	1	GFP		AUM1811
plp-1	WBGene00004046	1	GFP	FLAG	SHG2328
