gene	wbid	n_strains	fluor_tags	other_tags	cgc_strains
dlk-1	WBGene00001008	1	GFP		CZ25941
dma-1	WBGene00011345	17	GFP;TagRFP;YFP	FLAG;ZF	TV24661;TV24913;TV25301;TV25625;TV26950;TV26971;TV27036;TV27863;TV27864;TV27873;TV27876
dmd-3	WBGene00012832	2	GFP	FLAG	OH15733
dmd-4	WBGene00007776	3	GFP;mScarlet-I3	AID	OH15814;OS15370
dmd-5	WBGene00017326	2	mNG		SYS429
dnc-2	WBGene00001018	1	GFP	FLAG	
dnc-6	WBGene00021827	1		FLAG	
dnj-11	WBGene00001029	1	eGFP	FLAG;TY1	RW12337
dnj-12	WBGene00001030	2		HA;degron	
dnj-14	WBGene00001032	1	mScarlet		
dnj-9	WBGene00001027	1	GFPNovo2	AID;FLAG;TEV	
dot-1.1	WBGene00021474	1	GFP		
dpff-1	WBGene00016200	1	mNG	AID	DQM1138
dpy-1	WBGene00001063	1	mNG		PHX8253
dpy-13	WBGene00001074	2	mNG;mScarlet		JDW818;PHX3318
dpy-14	WBGene00001075	2	mNG;mScarlet	FLAG;OLLAS	JDW651;JDW794
dpy-17	WBGene00001076	1	mNG		PHX3685
dpy-19	WBGene00001078	1	GFP		
dpy-2	WBGene00001064	2	mNG;mTagBFP2		PHX4550
dpy-26	WBGene00001085	1		FLAG;TEV	
dpy-27	WBGene00001086	3	GFP	AID;Myc	JEL1197
dpy-3	WBGene00001065	1	mNG		PHX4583
dpy-4	WBGene00001066	1	mNG	FLAG	JDW650
dpy-5	WBGene00001067	1	mNG		PHX3312
dpy-6	WBGene00001068	1	mNG		
dpy-7	WBGene00001069	1	mKate2	Myc	
drh-3	WBGene00008400	1	GFP	FLAG	SHG1676
drl-1	WBGene00017578	1	mKate2	AID;FLAG	
drp-1	WBGene00001093	5	GFP;mNG	degron	EU2917;MD5004
drsh-1	WBGene00009163	6	GFP;mScarlet	AID;FLAG;Myc	MLC1245;MLC1726;MLC1729
dsb-1	WBGene00008580	2	GFP	HA	
dsb-2	WBGene00194892	3		AID;FLAG	CA1421
dsh-1	WBGene00001101	2	mNG	FLAG;degron	LP705
dsh-2	WBGene00001102	1	mNG		LP228
dtn-1/tebp-1	WBGene00011047	3	GFP	FLAG	
dtn-2/tebp-2	WBGene00020464	2	GFP	FLAG	
dvc-1	WBGene00011834	1	mCherry		
dve-1	WBGene00022861	2	GFP;mScarlet		PHX7515
dxbp-1	WBGene00013128	2	eGFP	FLAG;TY1	RW12180
dyb-1	WBGene00001115	1	mScarlet		
dyf-11	WBGene00001127	4	GFP;mScarlet;sGFP(11)	AID	
dyf-2	WBGene00001118	1	GFP	AID	
dyf-5	WBGene00001121	3	GFP;mScarlet		
dys-1	WBGene00001131	1	mNG	degron	
eat-17	WBGene00020770	1	GFP		
eat-2	WBGene00001133	1	YFP		
eat-5	WBGene00001136	1	GFP		OH16047
ebax-1	WBGene00004140	1	mScarlet3		
ebp-1	WBGene00013344	1	sGFP(11)		
ebp-2	WBGene00012156	8	GFP;eGFP;mKate2;mNG;sGFP(11)	FLAG	EU3068;JLF302;SBW292
eco-1	WBGene00017269	1		AID;FLAG	
edc-3	WBGene00011036	3	mCherry;mNG	FLAG;Myc	GLW43;SHG1687
edc-4	WBGene00021551	1		FLAG	
eef-1B.2	WBGene00012768	1	GFPNovo2	AID;FLAG;TEV	
eel-1	WBGene00022069	1	mNG		GLW8
efa-6	WBGene00013223	2	GFP;mScarlet		CZ31328
eff-1	WBGene00001159	1	GFP		GOU2042
efhc-1	WBGene00013028	1	GFP	FLAG	
efl-1	WBGene00001161	1		AID	
efl-3	WBGene00009899	1	GFP	AID	
egc-1	WBGene00184990	3	GFP;mCherry	FLAG	SHG1683;SHG1685
egc-3/F59B1.8	WBGene00019100	2	GFP	FLAG	SHG2876
eggd-1/mip-1/C38D4.4	WBGene00008005	3	GFP	AID;FLAG	
egl-1	WBGene00001170	3	mStayGold;smScarlet(11)	Myc	GLW29;MD5016
egl-13	WBGene00001182	2	mNG		SYS642
egl-17	WBGene00001185	1	mNG	FLAG	APL23
egl-18	WBGene00001186	3	eGFP;mNG	FLAG;TY1	RW12252;SYS673
egl-19	WBGene00001187	5	Skylan-S;sGFP(11);smCherry(11)	V5;ZF	
egl-2	WBGene00001171	2	YFP		CG1438
egl-20	WBGene00001188	5	GFP;YPet;Ypet;mNG	FLAG	LP515;LP815
