gene	go_term	go_slim_term	cellular_component
C36B7.2	GO:0005856	GO:0005856	cytoskeleton
C36E8.4	GO:0043226	GO:0043226	organelle
C38H2.2	GO:0016020	GO:0016020	membrane
C39B5.6	GO:0005739	GO:0005739	mitochondrion
C39B5.6	GO:0030956	GO:0032991	protein-containing complex
C40A11.2			
C40A11.3			
C40A11.4			
C40A11.6			
C40A11.7			
C41D11.9	GO:0016020	GO:0016020	membrane
C42C1.19	GO:0005789;GO:0016020	GO:0016020	membrane
C42C1.19	GO:0012505		
C44B7.11	GO:0005783	GO:0005783	endoplasmic reticulum
C44B7.11	GO:0005789;GO:0016020	GO:0016020	membrane
C45B11.6	GO:0005783	GO:0005783	endoplasmic reticulum
C45B11.6	GO:0005789;GO:0016020	GO:0016020	membrane
C45B2.6	GO:0005739	GO:0005739	mitochondrion
C46F11.4	GO:0005634	GO:0005634	nucleus
C46F11.4	GO:0043186	GO:0043226	organelle
C46H11.2	GO:0005829	GO:0005829	cytosol
C46H11.3	GO:0005737	GO:0005737	cytoplasm
C46H11.3	GO:0005856;GO:0015629;GO:0030863	GO:0005856	cytoskeleton
C46H11.3	GO:0005885;GO:0032991	GO:0032991	protein-containing complex
C47D12.2	GO:0005783	GO:0005783	endoplasmic reticulum
C47D12.2	GO:0005794	GO:0005794	Golgi apparatus
C47E12.2	GO:0005739	GO:0005739	mitochondrion
C47E12.2	GO:0005743;GO:0016020	GO:0016020	membrane
C47E12.3	GO:0005783	GO:0005783	endoplasmic reticulum
C47E12.3	GO:0005789;GO:0016020	GO:0016020	membrane
C47E12.3	GO:0044322		
C47E8.4	GO:0005634	GO:0005634	nucleus
C47G2.3	GO:0005739	GO:0005739	mitochondrion
C47G2.3	GO:0005743;GO:0016020	GO:0016020	membrane
C47G2.3	GO:0042721	GO:0032991	protein-containing complex
C48E7.6	GO:0016020	GO:0016020	membrane
C49H3.4	GO:0005683	GO:0032991	protein-containing complex
C50F2.5			
C53A5.16			
C53A5.17	GO:0005634	GO:0005634	nucleus
C53A5.17	GO:0005737	GO:0005737	cytoplasm
C53A5.17	GO:0005739	GO:0005739	mitochondrion
C53A5.17	GO:0005759		
C53B4.3	GO:0005634	GO:0005634	nucleus
C53B4.3	GO:0005635	GO:0005635	nuclear envelope
C53B4.3	GO:0016020	GO:0016020	membrane
C53D5.5	GO:0005886	GO:0005886	plasma membrane
C53D5.5	GO:0016020	GO:0016020	membrane
C54D10.10			
C54G4.4	GO:0005886	GO:0005886	plasma membrane
C55A6.1	GO:0005634	GO:0005634	nucleus
C55A6.1	GO:0005737	GO:0005737	cytoplasm
C55A6.10	GO:0005737	GO:0005737	cytoplasm
C55A6.10	GO:0055120		
C55A6.3	GO:0005737	GO:0005737	cytoplasm
C55A6.4	GO:0005737	GO:0005737	cytoplasm
C55A6.6	GO:0005737	GO:0005737	cytoplasm
C55A6.7	GO:0005737	GO:0005737	cytoplasm
C55B7.3			
C55C3.4	GO:0005886	GO:0005886	plasma membrane
C56C10.6	GO:0005634	GO:0005634	nucleus
C56C10.6	GO:0005737	GO:0005737	cytoplasm
C56C10.6	GO:0015630	GO:0005856	cytoskeleton
C56G3.2	GO:0005829	GO:0005829	cytosol
D1005.2	GO:0005737	GO:0005737	cytoplasm
D1037.1			
D1053.2	GO:0005634	GO:0005634	nucleus
D1053.2	GO:0000781		
D1069.3	GO:0005737	GO:0005737	cytoplasm
D1069.3	GO:0005829	GO:0005829	cytosol
D1069.3	GO:0005886	GO:0005886	plasma membrane
D1069.3	GO:0016020	GO:0016020	membrane
D2023.4			
D2030.2	GO:0005759		
D2045.5	GO:0005634	GO:0005634	nucleus
D2045.5	GO:0005737	GO:0005737	cytoplasm
D2045.9			
DC2.5			
E03H4.8	GO:0030117	GO:0032991	protein-containing complex
E04F6.15			
F01F1.15	GO:0005783	GO:0005783	endoplasmic reticulum
F01G10.10	GO:0005615		
F01G4.6	GO:0005739	GO:0005739	mitochondrion
F01G4.6	GO:0005743;GO:0016020	GO:0016020	membrane
F02C12.1	GO:0016020	GO:0016020	membrane
F02D8.4	GO:0005615		
F02E9.7	GO:0016020	GO:0016020	membrane
F07F6.7	GO:0005576	GO:0005576	extracellular region
F07F6.8	GO:0005576	GO:0005576	extracellular region
F09B9.5	GO:0005615		
F09C12.2	GO:0005634	GO:0005634	nucleus
F09C12.2	GO:0005737	GO:0005737	cytoplasm
F09E5.11	GO:0005783	GO:0005783	endoplasmic reticulum
F09E5.11	GO:0005789;GO:0016020	GO:0016020	membrane
F09E5.11	GO:0012505		
F09E5.8	GO:0005737	GO:0005737	cytoplasm
F09G2.8	GO:0016020	GO:0016020	membrane
F09G2.8	GO:0012505		
F09G8.5	GO:0036064	GO:0005815	microtubule organizing center
F09G8.5	GO:0097733	GO:0005929	cilium
F10E7.11	GO:0005634	GO:0005634	nucleus
F10E7.11	GO:0005654	GO:0005654	nucleoplasm
F10G8.1			
F10G8.8	GO:0015629	GO:0005856	cytoskeleton
F11D5.5	GO:0016020	GO:0016020	membrane
F11D5.7	GO:0016020	GO:0016020	membrane
F11E6.6	GO:0016020	GO:0016020	membrane
F11E6.6	GO:0012505		
F11E6.8	GO:0005886	GO:0005886	plasma membrane
F11E6.8	GO:0016020	GO:0016020	membrane
F11E6.8	GO:0043235	GO:0032991	protein-containing complex
F13B12.2	GO:0016020	GO:0016020	membrane
F13C5.2	GO:0005634	GO:0005634	nucleus
F13C5.2	GO:0000785		
F13H8.2	GO:0032040;GO:0034388	GO:0032991	protein-containing complex
F14D7.6	GO:0005765;GO:0016020	GO:0016020	membrane
F15E6.6			
F16F9.1	GO:0005765;GO:0010008;GO:0016020;GO:0031902	GO:0016020	membrane
F17C8.6			
F17H10.1			
F18A11.5			
F19C6.3			
F20D6.8	GO:0005886	GO:0005886	plasma membrane
F20D6.9	GO:0005634	GO:0005634	nucleus
F20D6.9	GO:0005694	GO:0005694	chromosome
F20D6.9	GO:0000786	GO:0032991	protein-containing complex
F20G2.1	GO:0005737	GO:0005737	cytoplasm
F20G2.2	GO:0005737	GO:0005737	cytoplasm
F21D5.5			
F21D5.6	GO:0005654	GO:0005654	nucleoplasm
F21D5.6	GO:0032299	GO:0032991	protein-containing complex
F21D5.7	GO:0005634	GO:0005634	nucleus
F21D5.7	GO:0005737	GO:0005737	cytoplasm
F21D5.7	GO:0005783	GO:0005783	endoplasmic reticulum
F21D5.7	GO:0005829	GO:0005829	cytosol
F21D5.7	GO:0005786;GO:0048500;GO:1990904	GO:0032991	protein-containing complex
F21D5.7	GO:0016607	GO:0043226	organelle
F21G4.1	GO:0005886	GO:0005886	plasma membrane
F21G4.1	GO:0016020;GO:0016323	GO:0016020	membrane
F22B5.10	GO:0005737	GO:0005737	cytoplasm
F22B5.10	GO:0005783	GO:0005783	endoplasmic reticulum
F22B5.10	GO:0005789;GO:0016020	GO:0016020	membrane
F22B5.10	GO:0055120		
F22E5.12	GO:0016020	GO:0016020	membrane
F22E5.6			
F22E5.8			
F22G12.4			
F23C8.7	GO:0005886	GO:0005886	plasma membrane
F23F1.5	GO:0005634	GO:0005634	nucleus
F23F1.5	GO:0005737	GO:0005737	cytoplasm
F23F12.13	GO:0016020	GO:0016020	membrane
