gene	go_term	go_slim_term	cellular_component
unc-70	GO:0005737;GO:0005938;GO:0005829;GO:0005856;GO:0030864;GO:0005886;GO:0008091;GO:0016020;GO:0016328;GO:0031430;GO:0031674;GO:0055120;GO:0030054;GO:0042995	GO:0005737;GO:0005829;GO:0005856;GO:0005886;GO:0016020;GO:0030054;GO:0032991;GO:0042995	cell junction;cell projection;cytoplasm;cytoskeleton;cytosol;membrane;plasma membrane;protein-containing complex
unc-71	GO:0005886;GO:0016020	GO:0005886;GO:0016020	membrane;plasma membrane
unc-73	GO:0005737;GO:0019898;GO:0030424;GO:0036194	GO:0005737;GO:0042995;GO:0043005	cell projection;cytoplasm;neuron projection
unc-75	GO:0005634;GO:0005737;GO:0016607;GO:0045202;GO:1990904	GO:0005634;GO:0005737;GO:0032991;GO:0043226;GO:0045202	cytoplasm;nucleus;organelle;protein-containing complex;synapse
unc-76	GO:0005737;GO:1904115;GO:0030424;GO:0043025;GO:0048471	GO:0005737;GO:0043005	cytoplasm;neuron projection
unc-77	GO:0005886;GO:0016020;GO:0030424;GO:0034702	GO:0005886;GO:0016020;GO:0032991;GO:0043005	membrane;neuron projection;plasma membrane;protein-containing complex
unc-79	GO:0030424	GO:0043005	neuron projection
unc-8	GO:0005886;GO:0016020;GO:0043025	GO:0005886;GO:0016020	membrane;plasma membrane
unc-82	GO:0031430		
unc-83	GO:0005634;GO:0005635;GO:0005640;GO:0016020;GO:0031965;GO:0034993	GO:0005634;GO:0005635;GO:0016020;GO:0032991	membrane;nuclear envelope;nucleus;protein-containing complex
unc-85	GO:0000785;GO:0005634	GO:0005634	nucleus
unc-86	GO:0005634;GO:0090575	GO:0005634;GO:0032991	nucleus;protein-containing complex
unc-89	GO:0005737;GO:0031430;GO:0031672	GO:0005737	cytoplasm
unc-9	GO:0005886;GO:0005911;GO:0005921;GO:0070161;GO:0016020	GO:0005886;GO:0016020;GO:0030054	cell junction;membrane;plasma membrane
unc-94	GO:0005737;GO:0005856;GO:1990357;GO:0005865;GO:0030016	GO:0005737;GO:0005856;GO:0043226	cytoplasm;cytoskeleton;organelle
unc-97	GO:0005634;GO:0005654;GO:0005737;GO:0005911;GO:0005912;GO:0005925;GO:0070161;GO:0009925;GO:0031430;GO:0055120	GO:0005634;GO:0005654;GO:0005737;GO:0016020;GO:0030054	cell junction;cytoplasm;membrane;nucleoplasm;nucleus
ung-1	GO:0005634;GO:0005739	GO:0005634;GO:0005739	mitochondrion;nucleus
upp-1	GO:0005737;GO:0005829	GO:0005737;GO:0005829	cytoplasm;cytosol
uroc-1			
usp-14	GO:0000502	GO:0032991	protein-containing complex
usp-3	GO:0005737	GO:0005737	cytoplasm
usp-33	GO:0005634;GO:0005829	GO:0005634;GO:0005829	cytosol;nucleus
usp-4			
usp-48	GO:0005634;GO:0005694;GO:0005829	GO:0005634;GO:0005694;GO:0005829	chromosome;cytosol;nucleus
usp-50	GO:0005769	GO:0005768	endosome
utx-1	GO:0005634;GO:0044666	GO:0005634;GO:0032991	nucleus;protein-containing complex
uvs-1	GO:0005694	GO:0005694	chromosome
vab-1	GO:0005886;GO:0016020;GO:0030424;GO:0043235	GO:0005886;GO:0016020;GO:0032991;GO:0043005	membrane;neuron projection;plasma membrane;protein-containing complex
vab-10	GO:0005737;GO:0005856;GO:0005874;GO:0005882;GO:0005886;GO:0009925;GO:0016020;GO:0016324;GO:0030056	GO:0005737;GO:0005856;GO:0005886;GO:0016020;GO:0030054	cell junction;cytoplasm;cytoskeleton;membrane;plasma membrane
vab-15	GO:0005634	GO:0005634	nucleus
vab-19	GO:0005737;GO:0005856;GO:0005882;GO:0005911;GO:0030055;GO:0030056	GO:0005737;GO:0005856;GO:0030054	cell junction;cytoplasm;cytoskeleton
vab-2	GO:0005886;GO:0009897;GO:0016020;GO:0030424	GO:0005886;GO:0016020;GO:0043005	membrane;neuron projection;plasma membrane
vab-23	GO:0005634;GO:0016607	GO:0005634;GO:0043226	nucleus;organelle
vab-3	GO:0005634;GO:0005737	GO:0005634;GO:0005737	cytoplasm;nucleus
vab-8	GO:0005737;GO:0005856;GO:0005865;GO:0005874	GO:0005737;GO:0005856	cytoplasm;cytoskeleton
vab-9	GO:0005911;GO:0030054;GO:0070161;GO:0016020	GO:0016020;GO:0030054	cell junction;membrane
vacl-14	GO:0010008;GO:0016020;GO:0012505;GO:0070772	GO:0016020;GO:0032991	membrane;protein-containing complex
vang-1	GO:0005886;GO:0016020;GO:0016323;GO:0016324	GO:0005886;GO:0016020	membrane;plasma membrane
vars-1	GO:0005829	GO:0005829	cytosol
vav-1	GO:0005737	GO:0005737	cytoplasm
vbh-1	GO:0005634;GO:0005737;GO:0010494;GO:0043186	GO:0005634;GO:0005737;GO:0043226	cytoplasm;nucleus;organelle
vdac-1	GO:0005739;GO:0005741;GO:0016020;GO:0046930	GO:0005739;GO:0016020;GO:0032991	membrane;mitochondrion;protein-containing complex
vem-1	GO:0012505;GO:0016020;GO:0030424;GO:0042995	GO:0016020;GO:0042995;GO:0043005	cell projection;membrane;neuron projection
vep-1	GO:0000126;GO:0005634	GO:0005634;GO:0032991	nucleus;protein-containing complex
